code,market,industry_type,name,open,high,low,close,psr,per,pbr,volume,unit,market_capitalization,issued_shares,dt,crawl_datetime
1436,東証マザーズ,業種建設業,フィット,617.0,626.0,556.0,560.0,0.47,,0.56,"11,500",100,"2,398百万円","4,282千株",2020-03-01,2020-03-01T18:21:20
1438,名証２部,業種建設業,岐阜造園,"1,300.0","1,300.0","1,250.0","1,250.0",0.44,10.46,0.71,"2,000",100,"1,814百万円","1,451千株",2020-03-01,2020-03-01T18:21:22
1439,東証JASDAQ（スタンダード）,業種建設業,安江工務店,915.0,925.0,881.0,881.0,0.22,9.28,0.77,"13,000",100,"1,153百万円","1,309千株",2020-03-01,2020-03-01T18:21:23
1446,東証１部,業種建設業,キャンディル,531.0,561.0,519.0,520.0,0.40,21.43,1.70,"172,800",100,"5,382百万円","10,351千株",2020-03-01,2020-03-01T18:21:25
1449,札証ア,業種建設業,ＦＵＪＩジャパン,480.0,481.0,416.0,424.0,0.59,14.91,3.08,"5,700",100,903百万円,"2,130千株",2020-03-01,2020-03-01T18:21:27
1450,東証JASDAQ（スタンダード）,業種建設業,田中建設工業,"2,961.0","2,998.0","2,920.0","2,920.0",1.01,11.24,1.77,"1,700",100,"6,350百万円","2,174千株",2020-03-01,2020-03-01T18:21:29
1451,東証２部,業種建設業,ＫＨＣ,691.0,696.0,659.0,680.0,0.19,5.20,0.50,"91,700",100,"2,669百万円","3,926千株",2020-03-01,2020-03-01T18:21:31
1887,東証１部,業種建設業,日本国土開発,513.0,523.0,504.0,507.0,0.41,3.62,0.77,"387,400",100,"49,815百万円","98,255千株",2020-03-01,2020-03-01T18:21:33
2334,東証マザーズ,業種サービス業,イオレ,"1,410.0","1,445.0","1,250.0","1,337.0",1.58,52.32,2.70,"85,500",100,"3,091百万円","2,312千株",2020-03-01,2020-03-01T18:21:34
2424,東証１部,業種サービス業,ブラス,620.0,629.0,609.0,610.0,0.33,9.42,0.96,"28,500",100,"3,482百万円","5,709千株",2020-03-01,2020-03-01T18:21:36
2820,東証１部,業種食料品,やまみ,"2,027.0","2,035.0","1,943.0","1,958.0",1.24,19.49,2.19,"25,000",100,"13,585百万円","6,938千株",2020-03-01,2020-03-01T18:21:38
2884,東証１部,業種食料品,ヨシムラ・フード・ホールディングス,940.0,953.0,881.0,888.0,0.83,73.75,4.28,"385,700",100,"19,688百万円","22,171千株",2020-03-01,2020-03-01T18:21:40
2970,東証JASDAQ（スタンダード）,業種不動産業,グッドライフカンパニー,"3,390.0","3,925.0","3,355.0","3,550.0",1.09,13.81,2.56,"40,200",100,"4,981百万円","1,403千株",2020-03-01,2020-03-01T18:21:42
2971,東証REIT,業種REIT,エスコンジャパンリート投資法人,"117,900.0","119,900.0","114,000.0","114,100.0",,,,"4,381",1,"32,288百万円",282千株,2020-03-01,2020-03-01T18:21:43
2972,東証REIT,業種REIT,サンケイリアルエステート投資法人,"120,400.0","123,900.0","119,300.0","120,600.0",,,,"3,201",1,"43,030百万円",356千株,2020-03-01,2020-03-01T18:21:45
2974,福証,業種不動産業,大英産業,972.0,976.0,956.0,956.0,0.10,2.31,0.53,700,100,"3,117百万円","3,261千株",2020-03-01,2020-03-01T18:21:47
2976,札証ア,業種不動産業,日本グランデ,950.0,950.0,803.0,803.0,0.18,,,"4,700",100,923百万円,"1,150千株",2020-03-01,2020-03-01T18:21:48
2978,東証マザーズ,業種不動産業,ツクルバ,"1,144.0","1,144.0","1,000.0","1,030.0",6.34,768.65,6.51,"109,400",100,"9,611百万円","9,331千株",2020-03-01,2020-03-01T18:21:50
2979,東証REIT,業種REIT,ＳＯＳｉＬＡ物流リート投資法人,"120,500.0","123,500.0","117,500.0","119,500.0",,,,"6,323",1,"61,464百万円",514千株,2020-03-01,2020-03-01T18:21:52
2980,東証マザーズ,業種不動産業,ＳＲＥホールディングス,"2,125.0","2,150.0","1,990.0","2,036.0",10.64,,,"80,300",100,"30,818百万円","15,137千株",2020-03-01,2020-03-01T18:21:53
2981,東証マザーズ,業種不動産業,ランディックス,"1,793.0","1,900.0","1,710.0","1,715.0",0.72,,,"71,600",100,"4,689百万円","2,734千株",2020-03-01,2020-03-01T18:21:55
3267,東証１部,業種建設業,フィル・カンパニー,"3,360.0","3,470.0","2,983.0","3,000.0",2.46,28.13,5.81,"132,400",100,"17,334百万円","5,778千株",2020-03-01,2020-03-01T18:21:57
3446,東証マザーズ,業種金属製品,ジェイテックコーポレーション,"2,840.0","2,929.0","2,833.0","2,863.0",13.03,50.13,6.84,"81,600",100,"16,748百万円","5,850千株",2020-03-01,2020-03-01T18:21:59
3447,東証１部,業種金属製品,信和,944.0,959.0,920.0,954.0,0.76,9.89,1.03,"66,800",100,"13,345百万円","13,988千株",2020-03-01,2020-03-01T18:22:01
3449,東証２部,業種金属製品,テクノフレックス,934.0,950.0,903.0,910.0,1.02,9.62,1.04,"124,100",100,"19,437百万円","21,360千株",2020-03-01,2020-03-01T18:22:02
3466,東証REIT,業種REIT,ラサールロジポート投資法人,"163,100.0","164,600.0","157,000.0","158,000.0",,,,"10,067",1,"215,354百万円","1,363千株",2020-03-01,2020-03-01T18:22:04
3467,東証１部,業種不動産業,アグレ都市デザイン,461.0,462.0,444.0,444.0,0.16,10.28,0.97,"45,100",100,"2,531百万円","5,701千株",2020-03-01,2020-03-01T18:22:06
3468,東証REIT,業種REIT,スターアジア不動産投資法人,"102,100.0","102,600.0","100,000.0","100,600.0",,,,"7,621",1,"54,406百万円",540千株,2020-03-01,2020-03-01T18:22:07
